Temp,n_rows_raw,n_rows,n_rows_removed_after_log_filter,n_starts,n_successful_starts,N0,NMAX,tLAG,tMAX,mu,RSS,R2,RMSE,MAE,AIC,BIC,success,message
8.0,54,54,0,80,80,6.676611580006828,9.811321273482625,80.64653817224212,335.5112790931683,0.012299503188039516,8.529734858146458,0.9022333969025536,0.39743937012912817,0.2779064549463193,61.59237006028162,69.54830624653871,True,Fit succeeded.
16.0,63,63,0,80,80,7.107517088745901,9.757615462069843,101.49209479886053,209.87379980209968,0.02445152872659403,2.1181309981806544,0.9651034790252117,0.18336064723720977,0.1395240499760274,-26.947584580632835,-18.375045675066705,True,Fit succeeded.
25.0,66,66,0,80,80,6.976590140455112,9.161838625554951,34.803091271173685,93.77443710305641,0.03705610672901396,6.167606033673931,0.7819487797305015,0.3056935986699539,0.2462676924407564,38.85718367488113,47.61580264298682,True,Fit succeeded.
