Temp,n_rows_raw,n_rows,n_rows_removed_after_log_filter,n_starts,n_successful_starts,N0,NMAX,mumax,lag,RSS,R2,RMSE,MAE,AIC,BIC,success,message
8.0,54,54,0,80,80,6.581631376913009,9.800403173531173,0.02260680723147259,130.1862056762012,9.83334728752597,0.8872915773623691,0.4267306221061169,0.29716385041339805,69.27231033397698,77.22824652023408,True,Fit succeeded.
16.0,63,63,0,80,80,7.0796044924907555,9.754373877830446,0.06230216986701338,138.02452357960345,2.170810388667731,0.9642355782878869,0.18562679697885928,0.13905810576816816,-25.399898002218983,-16.827359096652852,True,Fit succeeded.
25.0,66,66,0,80,80,6.97486869032106,9.161807052899812,0.12715296389506797,61.58295707430731,6.16956246205533,0.7818796116296849,0.30574207941016307,0.24642603839353458,38.87811623721087,47.63673520531657,True,Fit succeeded.
