Model,Temp,R2,RMSE,AIC,BIC
Baranyi,8.0,0.8872915773474168,0.42673062213442264,69.27231034114081,77.2282465273979
Logistic,8.0,0.856955183468843,0.4807415788730624,80.14341716447753,86.11036930417035
Three-phase linear,8.0,0.9022333969025536,0.3974393701291281,61.59237006028159,69.54830624653869
Baranyi,16.0,0.9642355782891794,0.18562679697550502,-25.399898004495768,-16.827359098929637
Logistic,16.0,0.8955487578330481,0.31722826202571913,40.12140964544789,46.55081382462249
Three-phase linear,16.0,0.965101511735857,0.18336581563731816,-26.94403305937859,-18.37149415381246
Baranyi,25.0,0.7818796116215553,0.3057420794158608,38.87811623967079,47.63673520777649
Logistic,25.0,0.7780899616280714,0.30838664206481664,38.01496073235718,44.583924958436455
Three-phase linear,25.0,0.7819487797305014,0.30569359866995394,38.857183674881156,47.61580264298685
