Model,Temp,R2,RMSE,AIC,BIC,AvgSlope_0_600,AvgSlope_0_300
Baranyi,16.0,0.9642355782891794,0.18562679697550502,-25.399898004495768,-16.827359098929637,0.00445794623890291,
Logistic,16.0,0.8955487578330481,0.31722826202571913,40.12140964544789,46.55081382462249,0.0056197570350019115,
Three-phase linear,16.0,0.965101511735857,0.18336581563731816,-26.94403305937859,-18.37149415381246,0.004414641762119711,
