Model,Temp,R2,RMSE,AIC,BIC,AvgSlope_0_600,AvgSlope_0_300
Baranyi,25.0,0.7818796116215553,0.3057420794158608,38.87811623967079,47.63673520777649,0.0036448952833083937,0.007289790566615011
Logistic,25.0,0.7780899616280714,0.30838664206481664,38.01496073235718,44.583924958436455,0.004447502858832288,0.0088946043320502
Three-phase linear,25.0,0.7819487797305014,0.30569359866995394,38.857183674881156,47.61580264298685,0.0036420808084993823,0.0072841616169987645
