Model,Temp,R2,RMSE,AIC,BIC,AvgSlope_0_600,AvgSlope_0_300
Baranyi,8.0,0.8872915773474168,0.42673062213442264,69.27231034114081,77.2282465273979,0.005363648938719419,
Logistic,8.0,0.856955183468843,0.4807415788730624,80.14341716447753,86.11036930417035,0.0059989076189875265,
Three-phase linear,8.0,0.9022333969025536,0.3974393701291281,61.59237006028159,69.54830624653869,0.005224516157020431,
