Model,Temp,R2,RMSE,AIC,BIC
Baranyi,8.0,0.8872915773474168,0.42673062213442264,69.27231034114081,77.2282465273979
Logistic,8.0,0.856955183468843,0.4807415788730624,80.14341716447753,86.11036930417035
Three-phase linear,8.0,0.9022333969025536,0.3974393701291281,61.59237006028159,69.54830624653869
